nombre,min_jugados,país,posición,edad
Lee Kun-Hee,1904.00,Corea del Sur,Defensa,20
Ham Sun-Woo,1966.00,Corea del Sur,Defensa,20
Lim Jun-Young,1146.00,Corea del Sur,Defensa,19
Son Seung-Min,1608.00,Corea del Sur,Mediocampista,19
Kim Ho-Jin,0.00,Corea del Sur,Mediocampista,19
Shin Sung,164.00,Corea del Sur,Mediocampista,20
Chung Ma-Ho,1375.00,Corea del Sur,Mediocampista,20
Choi Byung-Wook,671.00,Corea del Sur,Mediocampista,20
Kim Jun-Ha,205.00,Corea del Sur,Delantero,20
Kim Hyun-Min,474.00,Corea del Sur,Delantero,19
Kim Tae-won,1412.00,Corea del Sur,Delantero,20
Kim Hyeon-Oh,259.00,Corea del Sur,Delantero,20
Baek Ga-On,922.00,Corea del Sur,Delantero,20
Baek Min-Gyu,236.00,Corea del Sur,Delantero,20
Facundo Insfrán,476.00,Paraguay,Arquero,19
Victor Rojas,0.00,Paraguay,Arquero,19
Fransisco Mongelos,208.00,Paraguay,Arquero,20
Matías Arguello,328.00,Paraguay,Defensa,19
Axel Balbuena,781.00,Paraguay,Defensa,19
Diego León,994.00,Paraguay,Defensa,18
Lucas Quintana,2030.00,Paraguay,Defensa,20
Diego Ramos,0.00,Paraguay,Defensa,20
Alan Morinigo,551.00,Paraguay,Defensa,20
Gian Paoli,0.00,Paraguay,Defensa,20
Lucas Peralta,0.00,Paraguay,Defensa,20
Alexis Fretes,549.00,Paraguay,Mediocampista,20
Ezequiel Duarte,0.00,Paraguay,Mediocampista,19
Ángel Aguayo,1338.00,Paraguay,Mediocampista,19
Gabriel Aguayo,959.00,Paraguay,Mediocampista,20
Santiago Puzzo,1080.00,Paraguay,Mediocampista,18
Lucas Guiñazú,180.00,Paraguay,Delantero,19
Tiago Caballero,943.00,Paraguay,Delantero,20
Luca Kmet,166.00,Paraguay,Delantero,20
César Miño,326.00,Paraguay,Delantero,18
David Fernández,859.00,Paraguay,Delantero,19
Octavio Alfonso,102.00,Paraguay,Delantero,19
Anderson Legüizamón,560.00,Paraguay,Delantero,19
Ian Flores,0.00,Panamá,Arquero,20
Cecilio Burgess,855.00,Panamá,Arquero,20
Sean Deane,90.00,Panamá,Arquero,19
Joseph Jones,1638.00,Panamá,Defensa,20
Julio Rodríguez,1785.00,Panamá,Defensa,20
Luis Villarreal,950.00,Panamá,Defensa,20
Érick Díaz,1785.00,Panamá,Defensa,20
Juan Hall,1121.00,Panamá,Defensa,19
Martín Krug,0.00,Panamá,Defensa,19
Ángelo Gudiño,0.00,Panamá,Mediocampista,20
Ariel Arroyo,891.00,Panamá,Mediocampista,20
Antony Herbert,810.00,Panamá,Mediocampista,20
Samir Díaz,540.00,Panamá,Mediocampista,19
Ernesto Gómez,1406.00,Panamá,Mediocampista,18
Giovani Herbert,323.00,Panamá,Delantero,20
Anel Ryce,1031.00,Panamá,Delantero,19
Javier Arboleda,238.00,Panamá,Delantero,19
Gustavo Herrera,879.00,Panamá,Delantero,19
Rafael Mosquera,1244.00,Panamá,Delantero,20
Kayro Walters,0.00,Panamá,Delantero,20
Kevin Walder,914.00,Panamá,Delantero,19
Karlo Kurányi,1665.00,Panamá,Delantero,20
Raheen Cuello,0.00,Panamá,Delantero,18
Ryan Gómez,703.00,Panamá,Delantero,19
Otávio Costa,720.00,Brasil,Arquero,20
Lucas Furtado,1350.00,Brasil,Arquero,20
Pedro Cobra,1890.00,Brasil,Arquero,20
