Nombre,Min. jugados
Anas Tajaouart,1557
Hossam Essadak,1636
Ilias Boumassaoudi,1051
Othmane Maamma,476
Gessime Yassine,1857
Yassir Zabiri,498
Younes El Bahraoui,597
,
Italia,1597.95
Jacopo Seghetti,0
Alessandro Nunziante,2746
Lapo Siviero,1574
Wisdom Amey,75
Christian Corradi,990
Mattia Mannini,1388
Fellipe Jack,890
Andrea Natali,2103
Cristian Cama,1594
Emanuel Benjamín,421
Alessandro Berretta,3089
Jacopo Sardo,1573
Lorenzo Riccio,2203
Javison Idele,2026
Emanuele Sala,2696
Okoro Obinna,1903
Marco Romano,1146
Mattia Liberali,2513
Ismael Konaté,1116
Mattia Mosconi,1913
,
Australia,693.13
Steven Hall,780
Alex Robinson,96
Daniel Graskoski,900
Panagiotis Kikianis,600
Joshua Inserra,506
Sebastian Esposito,576
James Overy,256
Zach Lisolajski,329
Liam Bonetig,0
Lucas Herrington,212
Jonny Yull,464
Alexander Badolato,849
Rhys Youlley,235
Jaylan Pearman,464
Fabian Talladira,1810
Paul Okon,892
Louis Agosti,240
Max Caputo,1223
Luka Jovanovic,2131
Musa Toure,811
Daniel Bennie,724
Nathan Amanatidis,607
Tiago Quintal,1237
,
Argentina,574.87
Santino Barbi,270
Álvaro Busso,0
Alain Gómez,0
Santiago Fernández,1161
Dylan Gorosito,592
Tobías Palacio,420
Valente Pierani,303
Teo Rodríguez,238
Juan Villalba,431
Valentino Acuña,700
Tomás Pérez,1368
Milton Delgado,826
Alejo Sarco,196
Ian Subiabre,544
Maher Carrizo,836
Santino Andino,1313
,
Cuba,372.5
Yorlan Urgellés,no disponible
Yurdy Hodelín,no disponible
Yurixander Zayas,no disponible
Camilo Pinillo,1660
Elvis Casanova,no disponible
Ricardo Polo,no disponible
Karel Pérez,270
Leandro Mena,0
Norlys Chávez,no disponible
Walberto León,no disponible
Marcos Campo,0
Romario Torrez,no disponible
Maikol Vega,no disponible
Samuel Rodríguez,no disponible
Aniel Casanova,0
David Pérez,no disponible
Didier Reinoso,0
Jade Quiñones,no disponible
Cristian Mendoza,1050
Yordan Castañer,0
Enmanuel Torres,no disponible
,
Estados Unidos,1393.39
Duran Ferree,270
Adam Beaudry,1770
Diego Kochen,1440
Joshua Wynder,2449
Noah Cobb,2263
Matai Akinmboni,809
Nolan Norris,2380
Ethan Kohler,108
Francis Westfield,1715
Luca Bombino,1860
Reed Baker-Whiting,1358
Luke Brennan,1290
Matthew Corcoran,401
Brooklyn Raines,1656
Niko Tsakiris,2060
Benjamin Cremaschi,1830
Taha Habroune,1016
David Vazquez,2104
Pedro Soma,2167
Serge Ngoma,185
Zavier Gozo,1509
Cole Campbell,988
Marcos Zambrano-Delgado,420
,
Nueva Caledonia,
Noa Bochet Muller,no disponible 
Emmanuel Wahnapo,no disponible 
Wadria Hanye,no disponible 
Timotei Zeter,no disponible 
Lomani Nahiet,no disponible 
Kapone Xulue,no disponible 
Louis Brunet,no disponible 
Antoine Simane,no disponible 
Anthony Levy,no disponible 
Jytrhim Upa,no disponible 
Joseph Hnaissilin,no disponible 
Tamumue Ajapuhnya,no disponible 
Yazid-Enzo Wajoka,no disponible 
Yann Wahaga,no disponible 
Damien Ujicas,no disponible 
Evans Vakie,no disponible 
Nolhann Alebate,no disponible 
Robert Wathiepel,no disponible 
Kandjo Teanyouen,no disponible 
Patrick Ouka,no disponible 
Alain Wawalahae,no disponible 
,
Sudáfrica,478.76
Fletcher Lowe,718
Takalani Mazhamba,0
Kgoleng Ratisani,0
Asekho Tiwani,949
Neo Rapoo,1517
Siviwe Nkwali,810
Tylon Smith,0
Thato Sibiya,0
Sfiso Timba,584
Shakeel April,480
Mfundo Vilakazi,802
Siviwe Magidigidi,636
Kutlwano Letlhaku,474
Patrick Autata,89
Gomolemo Kekana,0
Lazola Maku,630
Siyabonga Mabena,73
Luke Baartman,429
Thabang Mahlangu,93
Ahshene Jody Lee,602
Langelihle Phili,1168
,
Francia,1150.88
Alexis Mirbach,1216
Justin Bengui Joao,1080
Lisandru Olmeta,1980
Steven Baseya,2184
Aboubaka Soumahoro,593
Jaydee Canvot,1587
Elyaz Zidane,582
Gady Beyuku,596
Bradel Kiwa,1343
Justin Bourgault,1208
Mayssam Benama,612
Dehmaine Assoumani,551
Rabby Nzingoula,1697
Anthony Bermont,1713
Darryl Bakola,0
Aladji Bamba,1165
Khalis Merah,1517
Ilane Touré,2170
Steve Ngoura,705
Lucas Michel,0
Joan Tincres,879
Robinio Vaz,1367
Keyliane Abdallah,1602
Mathys Detourbet,1274
,
Colombia,768.54
Alexei Rojas,0
Jordan García,1980
Luis Mena,360
Juan David Arizala,770
Julián Bazán,557
Yeimar Mosquera,734
Carlos Sarabia,178
Keimer Sandoval,210
Weimar Vivas,400
Kevin Álvarez,1520
Simón García,654
Elkin Rivero,960
José Cavadía,1097
Joel Romero,882
Jhon Rentería,962
Alejandro Ararat,712
Kener González,1116
Jhon Guzmán,2145
Royner Benítez,490
Jordan Barrera,745
Neyser Villareal,0
Óscar Perea,689
John Montaño,141
Emilio Aristizábal,1826
Joel Canchimbo,93
,
Arabia Saudita,190.22
Hamed Al-Shanqiti,no disponible 
Abdulilah Al Ghamdi,0
Abdul Rahman Al Ghamdi,90
Mohammed Ali Barnawi,178
Nawaf Al Ghulaimish,324
Awad Aman,20
Sultan Alessa,no disponible
Saud Haroun,257
Saud Al Tumbukti,3
Saleh Barnawi,131
Farhah Al Shamrani,477
Ramez Al Attar,195
Adnan Al Bishri,0
Abdulmalik Ghazzi Al Harbi,55
Rakan Al Ghamdi,90
Elyas Shaikh,no disponible 
Thamer Al Khaibri,527
Talal Haji,272
Abdulmalik Al Harbi,55
Saad Haqawi,62
Bassam Hazazi,220
Turki Al Madani,57
Ali Al Mahdawi,179
Amar Al Yuhaybi,93
Abdullah Al Ghamdi,no disponible 
Hussain Al Raqwani,900
,
Nigeria,619.09
Rufai Abubakar,0
Ebenezer Harcourt,90
Clinton Ezekiel,1260
Daniel Bameyi,990
Odinaka Okoro,22
Ahmed Akinyele,2518
Azuka Alatan,0
Amos Ochoche,651
Marvelous Freedom,1492
Daniel Daga,1570
Israel Ayuma,718
Auwal Ibrahim,82
Emmanuel Ekele,62
Kamaldeen Mustapha,0
Sani Suleiman,1400
Orseer Achihi,160
Kparobo Arierhi,579
Tahir Maigana,110
Charles Agada,0
Salihu Nasiru,1297
Abdullahi Shitu,0
,
Noruega,1165.85
Magnus Brondbo,1530
Sander Østraat,1170
Einar Fauskanger,1170
Hakon Rosten,1970
Rasmus Holten,1243
Vetle Auklend,1024
Jonathan Norbye,3287
Tobias Moi,325
Mathias Øren,661
Luca Høyland,1517
Markus Haaland,899
Ola Visted,2012
Kasper Sætherbø,1152
Sondre Granaas,1189
Lars Remmem,978
Martin Håheim-Elveseter,1213
David De Ornelas,1361
Magnus Holte,277
Casper Andersen,9
Bork Bang-Kittilsen,330
